id,code,descripcion,similar
7647,40182101,Tubo doblado de latón sin uniones,Tubo curvado de latón sin uniones
7648,40182102,Tubo perforado de latón sin uniones,Tubo agujerado de latón sin uniones
7649,40182103,Tubo de remate final de latón sin uniones,
7650,40182104,Tubo multipuerto de latón sin uniones,
7651,40182105,Tubo biselado de latón sin uniones,
7652,40182106,Ensamblaje de tubos de latón sin uniones,
7653,40182200,Tubos de aluminio sin uniones,
7654,40182201,Tubo doblado de aluminio sin uniones,Tubo curvado de aluminio sin uniones
7655,40182202,Tubo perforado de aluminio sin uniones,Tubo agujerado de aluminio sin uniones
7656,40182203,Tubo de remate final de aluminio sin uniones,
7657,40182204,Tubo multipuerto de aluminio sin uniones,
7658,40182205,Tubo biselado de aluminio sin uniones,
7659,40182206,Ensamblaje de tubos de aluminio sin uniones,
7660,40182300,Tubos de acero sin uniones,
7661,40182301,Tubo doblado de acero sin uniones,Tubo curvado de acero sin uniones
7662,40182302,Tubo perforado de acero sin uniones,Tubo agujerado de acero sin uniones
7663,40182303,Tubo de remate final de acero sin uniones,
7664,40182304,Tubo multipuerto de acero sin uniones,
7665,40182305,Tubo biselado de acero sin uniones,
7666,40182306,Ensamblaje de tubos de acero sin uniones,
7667,40182400,Tubos de acero inoxidable sin uniones,
7668,40182401,Tubo doblado de acero inoxidable sin uniones,Tubo curvado de acero inoxidable sin uniones
7669,40182402,Tubo perforado de acero inoxidable sin uniones,Tubo agujerado de acero inoxidable sin uniones
7670,40182403,Tubo de remate final de acero inoxidable sin uniones,
7671,40182404,Tubo multipuerto de acero inoxidable sin uniones,
7672,40182405,Tubo biselado de acero inoxidable sin uniones,
7673,40182406,Ensamblaje de tubos de acero inoxidable sin uniones,
7674,40182500,Tubos de cobre extruidos,
7675,40182501,Tubo doblado de cobre extruido,Tubo curvado de cobre extruido
7676,40182502,Tubo perforado de cobre extruido,Tubo agujerado de cobre extruido
7677,40182503,Tubo de remate final de cobre extruido,
7678,40182504,Tubo multipuerto de cobre extruido,
7679,40182505,Tubo biselado de cobre extruido,
7680,40182506,Ensamblaje de tubos de cobre extruido,
7681,40182600,Tubos de latón extruidos,
7682,40182601,Tubo doblado de latón extruida,Tubo curvado de latón extruida
7683,40182602,Tubo perforado de latón extruida,Tubo agujerado de latón extruida
